,dist,direction
05:00:00,157.1577514958544,south
05:30:00,77.42646943237135,south
06:00:00,109.45098361636848,south
06:30:00,121.51805500230947,south
07:00:00,152.3247980733641,south
07:30:00,98.84487977238939,south
08:00:00,162.99704283536417,south
08:30:00,145.3541267053365,south
09:00:00,169.06929841799925,south
09:30:00,147.75058002034984,south
10:00:00,108.62826214511813,south
10:30:00,99.59930998772464,south
11:00:00,90.54120270804349,south
11:30:00,84.34096966575916,south
12:00:00,93.45149316405666,south
12:30:00,120.98728091994262,south
13:00:00,121.8084310399759,south
13:30:00,74.45500706950628,south
14:00:00,158.2941791479688,south
14:30:00,134.62398388456558,south
15:00:00,146.83859689927056,south
15:30:00,108.20104558547258,south
16:00:00,125.93732271723232,south
16:30:00,68.11636344637395,south
17:00:00,65.42187270899208,south
17:30:00,94.10875676255708,south
18:00:00,145.6075720200122,south
18:30:00,101.54185564409009,south
19:00:00,85.27040400983523,south
19:30:00,89.59689438912578,south
20:00:00,42.039031457764224,south
20:30:00,55.539340081646685,south
21:00:00,41.41899865910133,south
05:00:00,143.72048551599391,west
05:30:00,172.138348700176,west
06:00:00,149.64269397143516,west
06:30:00,175.4624712995749,west
07:00:00,213.68299131300233,west
07:30:00,198.7799843050814,west
08:00:00,285.16238349882843,west
08:30:00,324.88311515034576,west
09:00:00,345.3903172712227,west
09:30:00,299.6726582325208,west
10:00:00,359.2057351523633,west
10:30:00,365.2860862738258,west
11:00:00,338.85692904531834,west
11:30:00,336.7254071223882,west
12:00:00,275.7029844583287,west
12:30:00,318.82887471507223,west
13:00:00,274.6239281899542,west
13:30:00,303.99661902576804,west
14:00:00,320.4113274360279,west
14:30:00,221.25301195751877,west
15:00:00,288.5329303651543,west
15:30:00,307.59771308848536,west
16:00:00,349.3412211692892,west
16:30:00,384.89059749931255,west
17:00:00,241.22570650763652,west
17:30:00,289.8021060702853,west
18:00:00,351.7065841983416,west
18:30:00,352.9854561754365,west
19:00:00,355.8892662698557,west
19:30:00,352.01739659518125,west
20:00:00,241.10472614023814,west
20:30:00,213.2608882617332,west
21:00:00,202.04004675156222,west
05:00:00,520.0546005704773,north
05:30:00,666.6526112999,north
06:00:00,42.101211223213035,north
06:30:00,120.5719952441107,north
07:00:00,164.81753807969818,north
07:30:00,253.63758930154017,north
08:00:00,367.9240793709914,north
08:30:00,388.02392928786463,north
09:00:00,441.56839251878046,north
09:30:00,450.27415815245354,north
10:00:00,446.9374352707601,north
10:30:00,272.746767959248,north
11:00:00,325.0572579848097,north
11:30:00,254.65104939650632,north
12:00:00,329.45940806142625,north
12:30:00,253.0952615234459,north
13:00:00,248.27053201159993,north
13:30:00,288.84185786358813,north
14:00:00,426.0639466226102,north
14:30:00,413.35866288555144,north
15:00:00,468.90422619068653,north
15:30:00,471.25191836550476,north
16:00:00,460.89141015233406,north
16:30:00,456.953806253904,north
17:00:00,474.4028884254113,north
17:30:00,498.49446035300343,north
18:00:00,518.7755050948703,north
18:30:00,530.3018119174876,north
19:00:00,404.39513255583296,north
19:30:00,282.13523047449013,north
20:00:00,268.56895451690144,north
20:30:00,346.2463434938502,north
21:00:00,285.8162386870159,north
05:00:00,280.31032275586006,east
05:30:00,208.34103209912993,east
06:00:00,234.8629343683375,east
06:30:00,288.8946713975193,east
07:00:00,245.0731711065999,east
07:30:00,255.58761755541673,east
08:00:00,352.30414098422386,east
08:30:00,252.23075695666034,east
09:00:00,301.4742785221011,east
09:30:00,259.900758950674,east
10:00:00,315.1618915075525,east
10:30:00,292.12934778150736,east
11:00:00,270.5442651792055,east
11:30:00,253.10298906376687,east
12:00:00,291.196210888792,east
12:30:00,302.6705829373349,east
13:00:00,253.19497865140505,east
13:30:00,175.48434895318002,east
14:00:00,243.2572298491651,east
14:30:00,227.28119978049534,east
15:00:00,172.95536101423806,east
15:30:00,162.24562452348118,east
16:00:00,156.54805235841263,east
16:30:00,156.8975102511739,east
17:00:00,131.5123746652021,east
17:30:00,178.76162805223134,east
18:00:00,183.42605916527282,east
18:30:00,58.16676124296694,east
19:00:00,58.69962284867418,east
19:30:00,83.58088016138481,east
20:00:00,128.84897579272973,east
20:30:00,282.10102131981245,east
21:00:00,201.0200060372945,east
